"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks that footer links navigate to the expected page and display the correct header.","1206","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:23 AMT 2024","passed","Tue Sep 24 12:51:24 AMT 2024","","Footer Navigation","",""
"This test checks the functionality of the image slider, ensuring it navigates between images correctly.","2279","Verify Slider Navigation","","Tue Sep 24 12:51:24 AMT 2024","passed","Tue Sep 24 12:51:27 AMT 2024","","Image Slider","",""
"This test checks that footer links navigate to the expected page and display the correct header.","1199","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:14 AMT 2024","passed","Tue Sep 24 12:51:15 AMT 2024","","Footer Navigation","",""
"This test checks that footer links navigate to the expected page and display the correct header.","1031","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:10 AMT 2024","passed","Tue Sep 24 12:51:11 AMT 2024","","Footer Navigation","",""
"This test checks that footer links navigate to the expected page and display the correct header.","990","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:12 AMT 2024","passed","Tue Sep 24 12:51:13 AMT 2024","","Footer Navigation","",""
"This test checks that footer links navigate to the expected page and display the correct header.","1320","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:19 AMT 2024","passed","Tue Sep 24 12:51:21 AMT 2024","","Footer Navigation","",""
"This test checks that footer links navigate to the expected page and display the correct header.","1064","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:07 AMT 2024","passed","Tue Sep 24 12:51:09 AMT 2024","","Footer Navigation","",""
"This test verifies that the search function returns the correct results when searching for a product by the name ""MacBook"".","1593","Verify Product Search by Name","","Tue Sep 24 12:51:04 AMT 2024","passed","Tue Sep 24 12:51:06 AMT 2024","","Search Functionality","",""
"This test verifies that a user can successfully add a product to their wishlist and check its contents.","3449","Add Product to Wishlist","","Tue Sep 24 12:51:28 AMT 2024","passed","Tue Sep 24 12:51:32 AMT 2024","","User Actions","",""
"This test checks that footer links navigate to the expected page and display the correct header.","1616","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:16 AMT 2024","passed","Tue Sep 24 12:51:18 AMT 2024","","Footer Navigation","",""
"This test verifies that clicking on submenu items navigates to the correct page and displays the expected header.","1571","Verify Submenu Navigation","","Tue Sep 24 12:50:58 AMT 2024","passed","Tue Sep 24 12:50:59 AMT 2024","","Submenu Selection","",""
"This test checks that footer links navigate to the expected page and display the correct header.","972","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:11 AMT 2024","passed","Tue Sep 24 12:51:12 AMT 2024","","Footer Navigation","",""
"This test verifies that clicking on submenu items navigates to the correct page and displays the expected header.","1637","Verify Submenu Navigation","","Tue Sep 24 12:51:01 AMT 2024","passed","Tue Sep 24 12:51:03 AMT 2024","","Submenu Selection","",""
"This test clicks through several main menu items and verifies navigation.","4737","Verify navigation of main menu items","","Tue Sep 24 12:50:53 AMT 2024","passed","Tue Sep 24 12:50:58 AMT 2024","","Main Menu Tests","",""
"This test checks that footer links navigate to the expected page and display the correct header.","954","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:09 AMT 2024","passed","Tue Sep 24 12:51:10 AMT 2024","","Footer Navigation","",""
"This test checks that footer links navigate to the expected page and display the correct header.","928","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:18 AMT 2024","passed","Tue Sep 24 12:51:18 AMT 2024","","Footer Navigation","",""
"This test checks that footer links navigate to the expected page and display the correct header.","1027","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:15 AMT 2024","passed","Tue Sep 24 12:51:16 AMT 2024","","Footer Navigation","",""
"This test verifies that clicking on submenu items navigates to the correct page and displays the expected header.","1456","Verify Submenu Navigation","","Tue Sep 24 12:51:03 AMT 2024","passed","Tue Sep 24 12:51:04 AMT 2024","","Submenu Selection","",""
"This test verifies that a user can add a product to the cart and check the cart contents.","1685","Verify Product Can Be Added to Cart","","Tue Sep 24 12:51:06 AMT 2024","passed","Tue Sep 24 12:51:07 AMT 2024","","Add to Cart Functionality","",""
"This test checks that footer links navigate to the expected page and display the correct header.","978","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:18 AMT 2024","passed","Tue Sep 24 12:51:19 AMT 2024","","Footer Navigation","",""
"This test verifies that clicking on submenu items navigates to the correct page and displays the expected header.","1664","Verify Submenu Navigation","","Tue Sep 24 12:50:59 AMT 2024","passed","Tue Sep 24 12:51:01 AMT 2024","","Submenu Selection","",""
"This test checks that footer links navigate to the expected page and display the correct header.","1220","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:22 AMT 2024","passed","Tue Sep 24 12:51:23 AMT 2024","","Footer Navigation","",""
"This test checks that footer links navigate to the expected page and display the correct header.","1046","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:13 AMT 2024","passed","Tue Sep 24 12:51:14 AMT 2024","","Footer Navigation","",""
"This test checks that footer links navigate to the expected page and display the correct header.","1180","Verify Footer Links Navigate Correctly","","Tue Sep 24 12:51:21 AMT 2024","passed","Tue Sep 24 12:51:22 AMT 2024","","Footer Navigation","",""
